id,name,description,type_tax_use,amount_type,amount,account_id:id,refund_account_id:id,chart_template_id:id,sequence,children_tax_ids:id,tag_ids:id,tax_group_id:id
lu_2015_tax_AB-EC-8-n,Purchase Goods 8% - Extra-Community (-),AB-EC-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1121,,tag_lu_519,tax_group_8
lu_2015_tax_AB-EC-8-p,Purchase Goods 8% - Extra-Community (+),AB-EC-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1122,,tag_lu_366,tax_group_8
lu_2015_tax_AB-EC-8,Purchase Goods 8% - Extra-Community,AB-EC-8,purchase,group,100,,,lu_2011_chart_1,120,"lu_2015_tax_AB-EC-8-n,lu_2015_tax_AB-EC-8-p",tag_lu_85,tax_group_8
lu_2015_tax_AB-ECP-0,Purchase Goods Exempted - Extra-Community fin privées,AB-ECP-0,purchase,percent,0,,,lu_2011_chart_1,123,,tag_lu_73,tax_group_0
lu_2015_tax_AB-ECP-14-n,Purchase Goods 14% - Extra-Community fin privées (-),AB-ECP-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1128,,tag_lu_521,tax_group_14
lu_2015_tax_AB-ECP-14-p,Purchase Goods 14% - Extra-Community fin privées (+),AB-ECP-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1129,,tag_lu_374,tax_group_14
lu_2015_tax_AB-ECP-14,Purchase Goods 14% - Extra-Community fin privées,AB-ECP-14,purchase,group,100,,,lu_2011_chart_1,127,"lu_2015_tax_AB-ECP-14-n,lu_2015_tax_AB-ECP-14-p",tag_lu_93,tax_group_14
lu_2015_tax_AB-ECP-17-n,Purchase Goods 17% - Extra-Community fin privées (-),AB-ECP-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1134,,tag_lu_523,tax_group_17
lu_2015_tax_AB-ECP-17-p,Purchase Goods 17% - Extra-Community fin privées (+),AB-ECP-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1135,,tag_lu_370,tax_group_17
lu_2015_tax_AB-ECP-17,Purchase Goods 17% - Extra-Community fin privées,AB-ECP-17,purchase,group,100,,,lu_2011_chart_1,133,"lu_2015_tax_AB-ECP-17-n,lu_2015_tax_AB-ECP-17-p",tag_lu_89,tax_group_17
lu_2015_tax_AB-ECP-3-n,Purchase Goods 3% - Extra-Community fin privées (-),AB-ECP-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1137,,tag_lu_524,tax_group_3
lu_2015_tax_AB-ECP-3-p,Purchase Goods 3% - Extra-Community fin privées (+),AB-ECP-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1138,,tag_lu_350,tax_group_3
lu_2015_tax_AB-ECP-3,Purchase Goods 3% - Extra-Community fin privées,AB-ECP-3,purchase,group,100,,,lu_2011_chart_1,136,"lu_2015_tax_AB-ECP-3-n,lu_2015_tax_AB-ECP-3-p",tag_lu_61,tax_group_3
lu_2015_tax_AB-ECP-8-n,Purchase Goods 8% - Extra-Community fin privées (-),AB-ECP-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1143,,tag_lu_526,tax_group_8
lu_2015_tax_AB-ECP-8-p,Purchase Goods 8% - Extra-Community fin privées (+),AB-ECP-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1144,,tag_lu_378,tax_group_8
lu_2015_tax_AB-ECP-8,Purchase Goods 8% - Extra-Community fin privées,AB-ECP-8,purchase,group,100,,,lu_2011_chart_1,142,"lu_2015_tax_AB-ECP-8-n,lu_2015_tax_AB-ECP-8-p",tag_lu_97,tax_group_8
lu_2011_tax_AB-IC-0,Purchase Goods Exempted - Intra-Community,AB-IC-0,purchase,percent,0,,,lu_2011_chart_1,145,,tag_lu_20,tax_group_0
lu_2015_tax_AB-IC-14-n,Purchase Goods 14% - Intra-Community (-),AB-IC-14-n,none,percent,-14,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1150,,tag_lu_492,tax_group_14
lu_2015_tax_AB-IC-14-p,Purchase Goods 14% - Intra-Community (+),AB-IC-14-p,none,percent,14,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1151,,tag_lu_317,tax_group_14
lu_2015_tax_AB-IC-14,Purchase Goods 14% - Intra-Community,AB-IC-14,purchase,group,100,,,lu_2011_chart_1,149,"lu_2015_tax_AB-IC-14-n,lu_2015_tax_AB-IC-14-p",tag_lu_28,tax_group_14
lu_2015_tax_AB-IC-17-n,Purchase Goods 17% - Intra-Community (-),AB-IC-17-n,none,percent,-17,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1156,,tag_lu_494,tax_group_17
lu_2015_tax_AB-IC-17-p,Purchase Goods 17% - Intra-Community (+),AB-IC-17-p,none,percent,17,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1157,,tag_lu_313,tax_group_17
lu_2015_tax_AB-IC-17,Purchase Goods 17% - Intra-Community,AB-IC-17,purchase,group,100,,,lu_2011_chart_1,155,"lu_2015_tax_AB-IC-17-n,lu_2015_tax_AB-IC-17-p",tag_lu_24,tax_group_17
lu_2011_tax_AB-IC-3-n,Purchase Goods 3% - Intra-Community (-),AB-IC-3-n,none,percent,-3,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1159,,tag_lu_495,tax_group_3
lu_2011_tax_AB-IC-3-p,Purchase Goods 3% - Intra-Community (+),AB-IC-3-p,none,percent,3,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1160,,tag_lu_305,tax_group_3
lu_2011_tax_AB-IC-3,Purchase Goods 3% - Intra-Community,AB-IC-3,purchase,group,100,,,lu_2011_chart_1,158,"lu_2011_tax_AB-IC-3-n,lu_2011_tax_AB-IC-3-p",tag_lu_12,tax_group_3
lu_2015_tax_AB-IC-8-n,Purchase Goods 8% - Intra-Community (-),AB-IC-8-n,none,percent,-8,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1165,,tag_lu_497,tax_group_8
lu_2015_tax_AB-IC-8-p,Purchase Goods 8% - Intra-Community (+),AB-IC-8-p,none,percent,8,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1166,,tag_lu_321,tax_group_8
lu_2015_tax_AB-IC-8,Purchase Goods 8% - Intra-Community,AB-IC-8,purchase,group,100,,,lu_2011_chart_1,164,"lu_2015_tax_AB-IC-8-n,lu_2015_tax_AB-IC-8-p",tag_lu_32,tax_group_8
lu_2011_tax_AB-PA-0,Purchase Goods 0% - Country,AB-PA-0,purchase,percent,0,,,lu_2011_chart_1,167,,tag_lu_220,tax_group_0
lu_2015_tax_AB-PA-14,Purchase Goods 14% - Country,AB-PA-14,purchase,percent,14,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,169,,"tag_lu_222,tag_lu_448",tax_group_14
lu_2015_tax_AB-PA-17,Purchase Goods 17% - Country,AB-PA-17,purchase,percent,17,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,171,,"tag_lu_224,tag_lu_450",tax_group_17
lu_2011_tax_AB-PA-3,Purchase Goods 3% - Country,AB-PA-3,purchase,percent,3,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,172,,"tag_lu_225,tag_lu_451",tax_group_3
lu_2015_tax_AB-PA-8,Purchase Goods 8% - Country,AB-PA-8,purchase,percent,8,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,174,,"tag_lu_453,tag_lu_227",tax_group_8
lu_2011_tax_AP-EC-0,Purchase Services Exempted - Extra-Community,AP-EC-0,purchase,percent,0,,,lu_2011_chart_1,175,,tag_lu_153,tax_group_0
lu_2015_tax_AP-EC-14-n,Purchase Services 14% - Extra-Community (-),AP-EC-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1180,,tag_lu_557,tax_group_14
lu_2015_tax_AP-EC-14-p,Purchase Services 14% - Extra-Community (+),AP-EC-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1181,,tag_lu_433,tax_group_14
lu_2015_tax_AP-EC-14,Purchase Services 14% - Extra-Community,AP-EC-14,purchase,group,100,,,lu_2011_chart_1,179,"lu_2015_tax_AP-EC-14-n,lu_2015_tax_AP-EC-14-p",tag_lu_161,tax_group_14
lu_2015_tax_AP-EC-17-n,Purchase Services 17% - Extra-Community (-),AP-EC-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1186,,tag_lu_559,tax_group_17
lu_2015_tax_AP-EC-17-p,Purchase Services 17% - Extra-Community (+),AP-EC-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1187,,tag_lu_429,tax_group_17
lu_2015_tax_AP-EC-17,Purchase Services 17% - Extra-Community,AP-EC-17,purchase,group,100,,,lu_2011_chart_1,185,"lu_2015_tax_AP-EC-17-n,lu_2015_tax_AP-EC-17-p",tag_lu_157,tax_group_17
lu_2011_tax_AP-EC-3-n,Purchase Services 3% - Extra-Community (-),AP-EC-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1189,,tag_lu_560,tax_group_3
lu_2011_tax_AP-EC-3-p,Purchase Services 3% - Extra-Community (+),AP-EC-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1190,,tag_lu_421,tax_group_3
lu_2011_tax_AP-EC-3,Purchase Services 3% - Extra-Community,AP-EC-3,purchase,group,100,,,lu_2011_chart_1,188,"lu_2011_tax_AP-EC-3-n,lu_2011_tax_AP-EC-3-p",tag_lu_145,tax_group_3
lu_2015_tax_AP-EC-8-n,Purchase Services 8% - Extra-Community (-),AP-EC-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1195,,tag_lu_562,tax_group_8
lu_2015_tax_AP-EC-8-p,Purchase Services 8% - Extra-Community (+),AP-EC-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1196,,tag_lu_437,tax_group_8
lu_2015_tax_AP-EC-8,Purchase Services 8% - Extra-Community,AP-EC-8,purchase,group,100,,,lu_2011_chart_1,194,"lu_2015_tax_AP-EC-8-n,lu_2015_tax_AP-EC-8-p",tag_lu_165,tax_group_8
lu_2011_tax_AP-IC-0,Purchase Services Exempted - Intra-Community,AP-IC-0,purchase,percent,0,,,lu_2011_chart_1,197,,tag_lu_120,tax_group_0
lu_2015_tax_AP-IC-14-n,Purchase Services 14% - Intra-Community (-),AP-IC-14-n,none,percent,-14,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1202,,tag_lu_564,tax_group_14
lu_2015_tax_AP-IC-14-p,Purchase Services 14% - Intra-Community (+),AP-IC-14-p,none,percent,14,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1203,,tag_lu_404,tax_group_14
lu_2015_tax_AP-IC-14,Purchase Services 14% - Intra-Community,AP-IC-14,purchase,group,100,,,lu_2011_chart_1,201,"lu_2015_tax_AP-IC-14-n,lu_2015_tax_AP-IC-14-p",tag_lu_128,tax_group_14
lu_2015_tax_AP-IC-17-n,Purchase Services 17% - Intra-Community (-),AP-IC-17-n,none,percent,-17,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1208,,tag_lu_566,tax_group_17
lu_2015_tax_AP-IC-17-p,Purchase Services 17% - Intra-Community (+),AP-IC-17-p,none,percent,17,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1209,,tag_lu_400,tax_group_17
lu_2015_tax_AP-IC-17,Purchase Services 17% - Intra-Community,AP-IC-17,purchase,group,100,,,lu_2011_chart_1,207,"lu_2015_tax_AP-IC-17-n,lu_2015_tax_AP-IC-17-p",tag_lu_124,tax_group_17
lu_2011_tax_AP-IC-3-n,Purchase Services 3% - Intra-Community (-),AP-IC-3-n,none,percent,-3,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1211,,tag_lu_567,tax_group_3
lu_2011_tax_AP-IC-3-p,Purchase Services 3% - Intra-Community (+),AP-IC-3-p,none,percent,3,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1212,,tag_lu_392,tax_group_3
lu_2011_tax_AP-IC-3,Purchase Services 3% - Intra-Community,AP-IC-3,purchase,group,100,,,lu_2011_chart_1,210,"lu_2011_tax_AP-IC-3-n,lu_2011_tax_AP-IC-3-p",tag_lu_112,tax_group_3
lu_2015_tax_AP-IC-8-n,Purchase Services 8% - Intra-Community (-),AP-IC-8-n,none,percent,-8,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1217,,tag_lu_569,tax_group_8
lu_2015_tax_AP-IC-8-p,Purchase Services 8% - Intra-Community (+),AP-IC-8-p,none,percent,8,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1218,,tag_lu_408,tax_group_8
lu_2015_tax_AP-IC-8,Purchase Services 8% - Intra-Community,AP-IC-8,purchase,group,100,,,lu_2011_chart_1,216,"lu_2015_tax_AP-IC-8-n,lu_2015_tax_AP-IC-8-p",tag_lu_132,tax_group_8
lu_2011_tax_AP-PA-0,Purchase Services 0% - Country,AP-PA-0,purchase,percent,0,,,lu_2011_chart_1,219,,tag_lu_228,tax_group_0
lu_2015_tax_AP-PA-14,Purchase Services 14% - Country,AP-PA-14,purchase,percent,14,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,221,,"tag_lu_456,tag_lu_230",tax_group_14
lu_2015_tax_AP-PA-17,Purchase Services 17% - Country,AP-PA-17,purchase,percent,17,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,223,,"tag_lu_458,tag_lu_232",tax_group_17
lu_2011_tax_AP-PA-3,Purchase Services 3% - Country,AP-PA-3,purchase,percent,3,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,224,,"tag_lu_233,tag_lu_459",tax_group_3
lu_2015_tax_AP-PA-8,Purchase Services 8% - Country,AP-PA-8,purchase,percent,8,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,226,,"tag_lu_235,tag_lu_461",tax_group_8
lu_2011_tax_FB-EC-0,Expenses Goods Exempted - Extra-Community,FB-EC-0,purchase,percent,0,,,lu_2011_chart_1,227,,tag_lu_70,tax_group_0
lu_2015_tax_FB-EC-14-n,Expenses Goods 14% - Extra-Community (-),FB-EC-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1232,,tag_lu_528,tax_group_14
lu_2015_tax_FB-EC-14-p,Expenses Goods 14% - Extra-Community (+),FB-EC-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1233,,tag_lu_363,tax_group_14
lu_2015_tax_FB-EC-14,Expenses Goods 14% - Extra-Community,FB-EC-14,purchase,group,100,,,lu_2011_chart_1,231,"lu_2015_tax_FB-EC-14-n,lu_2015_tax_FB-EC-14-p",tag_lu_82,tax_group_14
lu_2015_tax_FB-EC-17-n,Expenses Goods 17% - Extra-Community (-),FB-EC-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1238,,tag_lu_530,tax_group_17
lu_2015_tax_FB-EC-17-p,Expenses Goods 17% - Extra-Community (+),FB-EC-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1239,,tag_lu_359,tax_group_17
lu_2015_tax_FB-EC-17,Expenses Goods 17% - Extra-Community,FB-EC-17,purchase,group,100,,,lu_2011_chart_1,237,"lu_2015_tax_FB-EC-17-n,lu_2015_tax_FB-EC-17-p",tag_lu_78,tax_group_17
lu_2011_tax_FB-EC-3-n,Expenses Goods 3% - Extra-Community (-),FB-EC-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1241,,tag_lu_531,tax_group_3
lu_2011_tax_FB-EC-3-p,Expenses Goods 3% - Extra-Community (+),FB-EC-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1242,,tag_lu_335,tax_group_3
lu_2011_tax_FB-EC-3,Expenses Goods 3% - Extra-Community,FB-EC-3,purchase,group,100,,,lu_2011_chart_1,240,"lu_2011_tax_FB-EC-3-n,lu_2011_tax_FB-EC-3-p",tag_lu_46,tax_group_3
lu_2015_tax_FB-EC-8-n,Expenses Goods 8% - Extra-Community (-),FB-EC-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1247,,tag_lu_533,tax_group_8
lu_2015_tax_FB-EC-8-p,Expenses Goods 8% - Extra-Community (+),FB-EC-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1248,,tag_lu_367,tax_group_8
lu_2015_tax_FB-EC-8,Expenses Goods 8% - Extra-Community,FB-EC-8,purchase,group,100,,,lu_2011_chart_1,246,"lu_2015_tax_FB-EC-8-n,lu_2015_tax_FB-EC-8-p",tag_lu_86,tax_group_8
lu_2015_tax_FB-ECP-0,Expenses Goods Exempted - Extra-Community fin privées,FB-ECP-0,purchase,percent,0,,,lu_2011_chart_1,249,,tag_lu_74,tax_group_0
lu_2015_tax_FB-ECP-14-n,Expenses Goods 14% - Extra-Community fin privées (-),FB-ECP-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1254,,tag_lu_535,tax_group_14
lu_2015_tax_FB-ECP-14-p,Expenses Goods 14% - Extra-Community fin privées (+),FB-ECP-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1255,,tag_lu_375,tax_group_14
lu_2015_tax_FB-ECP-14,Expenses Goods 14% - Extra-Community fin privées,FB-ECP-14,purchase,group,100,,,lu_2011_chart_1,253,"lu_2015_tax_FB-ECP-14-n,lu_2015_tax_FB-ECP-14-p",tag_lu_94,tax_group_14
lu_2015_tax_FB-ECP-17-n,Expenses Goods 17% - Extra-Community fin privées (-),FB-ECP-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1260,,tag_lu_537,tax_group_17
lu_2015_tax_FB-ECP-17-p,Expenses Goods 17% - Extra-Community fin privées (+),FB-ECP-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1261,,tag_lu_371,tax_group_17
lu_2015_tax_FB-ECP-17,Expenses Goods 17% - Extra-Community fin privées,FB-ECP-17,purchase,group,100,,,lu_2011_chart_1,259,"lu_2015_tax_FB-ECP-17-n,lu_2015_tax_FB-ECP-17-p",tag_lu_90,tax_group_17
lu_2015_tax_FB-ECP-3-n,Expenses Goods 3% - Extra-Community fin privées (-),FB-ECP-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1263,,tag_lu_538,tax_group_3
lu_2015_tax_FB-ECP-3-p,Expenses Goods 3% - Extra-Community fin privées (+),FB-ECP-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1264,,tag_lu_351,tax_group_3
lu_2015_tax_FB-ECP-3,Expenses Goods 3% - Extra-Community fin privées,FB-ECP-3,purchase,group,100,,,lu_2011_chart_1,262,"lu_2015_tax_FB-ECP-3-n,lu_2015_tax_FB-ECP-3-p",tag_lu_62,tax_group_3
lu_2015_tax_FB-ECP-8-n,Expenses Goods 8% - Extra-Community fin privées (-),FB-ECP-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1269,,tag_lu_540,tax_group_8
lu_2015_tax_FB-ECP-8-p,Expenses Goods 8% - Extra-Community fin privées (+),FB-ECP-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1270,,tag_lu_379,tax_group_8
lu_2015_tax_FB-ECP-8,Expenses Goods 8% - Extra-Community fin privées,FB-ECP-8,purchase,group,100,,,lu_2011_chart_1,268,"lu_2015_tax_FB-ECP-8-n,lu_2015_tax_FB-ECP-8-p",tag_lu_98,tax_group_8
lu_2011_tax_FB-IC-0,Expenses Goods Exempted - Intra-Community,FB-IC-0,purchase,percent,0,,,lu_2011_chart_1,271,,tag_lu_21,tax_group_0
lu_2015_tax_FB-IC-14-n,Expenses Goods 14% - Intra-Community (-),FB-IC-14-n,none,percent,-14,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1276,,tag_lu_499,tax_group_14
lu_2015_tax_FB-IC-14-p,Expenses Goods 14% - Intra-Community (+),FB-IC-14-p,none,percent,14,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1277,,tag_lu_318,tax_group_14
lu_2015_tax_FB-IC-14,Expenses Goods 14% - Intra-Community,FB-IC-14,purchase,group,100,,,lu_2011_chart_1,275,"lu_2015_tax_FB-IC-14-n,lu_2015_tax_FB-IC-14-p",tag_lu_29,tax_group_14
lu_2015_tax_FB-IC-17-n,Expenses Goods 17% - Intra-Community (-),FB-IC-17-n,none,percent,-17,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1282,,tag_lu_501,tax_group_17
lu_2015_tax_FB-IC-17-p,Expenses Goods 17% - Intra-Community (+),FB-IC-17-p,none,percent,17,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1283,,tag_lu_314,tax_group_17
lu_2015_tax_FB-IC-17,Expenses Goods 17% - Intra-Community,FB-IC-17,purchase,group,100,,,lu_2011_chart_1,281,"lu_2015_tax_FB-IC-17-n,lu_2015_tax_FB-IC-17-p",tag_lu_25,tax_group_17
lu_2011_tax_FB-IC-3-n,Expenses Goods 3% - Intra-Community (-),FB-IC-3-n,none,percent,-3,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1285,,tag_lu_502,tax_group_3
lu_2011_tax_FB-IC-3-p,Expenses Goods 3% - Intra-Community (+),FB-IC-3-p,none,percent,3,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1286,,tag_lu_306,tax_group_3
lu_2011_tax_FB-IC-3,Expenses Goods 3% - Intra-Community,FB-IC-3,purchase,group,100,,,lu_2011_chart_1,284,"lu_2011_tax_FB-IC-3-n,lu_2011_tax_FB-IC-3-p",tag_lu_13,tax_group_3
lu_2015_tax_FB-IC-8-n,Expenses Goods 8% - Intra-Community (-),FB-IC-8-n,none,percent,-8,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1291,,tag_lu_504,tax_group_8
lu_2015_tax_FB-IC-8-p,Expenses Goods 8% - Intra-Community (+),FB-IC-8-p,none,percent,8,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1292,,tag_lu_322,tax_group_8
lu_2015_tax_FB-IC-8,Expenses Goods 8% - Intra-Community,FB-IC-8,purchase,group,100,,,lu_2011_chart_1,290,"lu_2015_tax_FB-IC-8-n,lu_2015_tax_FB-IC-8-p",tag_lu_33,tax_group_8
lu_2011_tax_FB-PA-0,Expenses Goods 0% - Country,FB-PA-0,purchase,percent,0,,,lu_2011_chart_1,293,,tag_lu_236,tax_group_0
lu_2015_tax_FB-PA-14,Expenses Goods 14% - Country,FB-PA-14,purchase,percent,14,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,295,,"tag_lu_463,tag_lu_238",tax_group_14
lu_2015_tax_FB-PA-17,Expenses Goods 17% - Country,FB-PA-17,purchase,percent,17,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,297,,"tag_lu_240,tag_lu_465",tax_group_17
lu_2011_tax_FB-PA-3,Expenses Goods 3% - Country,FB-PA-3,purchase,percent,3,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,298,,"tag_lu_241,tag_lu_466",tax_group_3
lu_2015_tax_FB-PA-8,Expenses Goods 8% - Country,FB-PA-8,purchase,percent,8,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,300,,"tag_lu_468,tag_lu_243",tax_group_8
lu_2011_tax_FP-EC-0,Expenses Services Extempted - Extra-Community,FP-EC-0,purchase,percent,0,,,lu_2011_chart_1,301,,tag_lu_154,tax_group_0
lu_2015_tax_FP-EC-14-n,Expenses Services 14% - Extra-Community (-),FP-EC-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1306,,tag_lu_571,tax_group_14
lu_2015_tax_FP-EC-14-p,Expenses Services 14% - Extra-Community (+),FP-EC-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1307,,tag_lu_434,tax_group_14
lu_2015_tax_FP-EC-14,Expenses Services 14% - Extra-Community,FP-EC-14,purchase,group,100,,,lu_2011_chart_1,305,"lu_2015_tax_FP-EC-14-n,lu_2015_tax_FP-EC-14-p",tag_lu_162,tax_group_14
lu_2015_tax_FP-EC-17-n,Expenses Services 17% - Extra-Community (-),FP-EC-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1312,,tag_lu_573,tax_group_17
